student_id,student_name,course_code,course_name,term,credits,has_prerequisites,midterm_score,final_score,assignment_score,total_score,passed,attendance_rate
20251100,Michael Gonzalez,IS 444,Multimedia Information Systems,Fall 2023,3,False,30,48,20,98,True,73.91
20251100,Michael Gonzalez,CS 221,Logic Design,Fall 2023,3,False,30,50,17,97,True,93.98
20251100,Michael Gonzalez,IS 313,Data Storage and Retrieval,Fall 2023,3,True,24,5,11,40,False,67.03
20251100,Michael Gonzalez,HU 313,Human Rights,Fall 2023,2,False,30,50,12,92,True,74.78
20251100,Michael Gonzalez,IT 211,Computer Maintenance,Spring 2023,3,False,30,50,12,92,True,91.15
20251100,Michael Gonzalez,CS 313,Programming-3,Spring 2023,3,True,30,43,20,93,True,82.94
20251100,Michael Gonzalez,IS 360,Introduction to Data Science,Spring 2023,3,False,30,50,12,92,True,84.57
20251100,Michael Gonzalez,IS 312,Database Systems-2,Spring 2023,3,True,30,38,10,78,True,93.32
20251100,Michael Gonzalez,IS 443,Geographical Information Systems,Fall 2024,3,False,30,50,16,96,True,71.35
20251100,Michael Gonzalez,IT 221,Data Communication,Fall 2024,3,False,30,50,3,83,True,66.42
20251100,Michael Gonzalez,CS 352,Software Engineering-2,Fall 2024,3,True,30,50,10,90,True,90.01
20251100,Michael Gonzalez,CS 214,Data Structures,Fall 2024,3,False,30,50,20,100,True,64.7
20251100,Michael Gonzalez,CS 111,Introduction to Computers,Fall 2024,3,False,30,42,14,86,True,65.27
20251100,Michael Gonzalez,MA 112,Discrete Mathematics,Spring 2024,3,False,30,38,13,81,True,88.71
20251100,Michael Gonzalez,IS 416,Distributed Database,Spring 2024,3,True,30,50,13,93,True,80.59
20251100,Michael Gonzalez,HU 313,Human Rights,Spring 2024,2,False,30,50,5,85,True,60.56
20251100,Michael Gonzalez,CS 214,Data Structures,Spring 2024,3,False,30,50,10,90,True,85.69
20251101,Dakota Gonzalez,AI 310,Artificial Intelligence,Fall 2023,3,False,30,50,12,92,True,64.19
20251101,Dakota Gonzalez,ST 121,Probability and Statistics-1,Fall 2023,3,False,30,50,15,95,True,87.05
20251101,Dakota Gonzalez,MA 111,Mathematics-1,Fall 2023,3,False,30,50,9,89,True,74.73
20251101,Dakota Gonzalez,IS 365,Big Data Technologies,Fall 2023,3,False,30,50,18,98,True,83.12
20251101,Dakota Gonzalez,IS 460,Introduction to deep learning,Fall 2023,3,True,30,50,8,88,True,74.05
20251101,Dakota Gonzalez,IS 360,Introduction to Data Science,Spring 2023,3,False,30,50,20,100,True,60.76
20251101,Dakota Gonzalez,IS 434,Quality Assurance of Information Systems and Programming,Spring 2023,3,False,30,50,12,92,True,61.32
20251101,Dakota Gonzalez,HU 121,Fundamentals of Economics,Spring 2023,3,False,30,50,14,94,True,62.54
20251101,Dakota Gonzalez,IS 345,Internet Applications,Spring 2023,3,False,30,50,13,93,True,82.18
20251101,Dakota Gonzalez,IS 421,Data Mining,Spring 2023,3,True,30,50,19,99,False,98.14
20251101,Dakota Gonzalez,IT 221,Data Communication,Spring 2023,3,False,30,50,18,98,True,81.52
